Date,Open,High,Low,Close,adj_close,Volume,chg
2/1/1985,179.630005,183.949997,177.75,181.179993,181.179993,2194620000,0.862878114
3/1/1985,181.179993,183.889999,176.529999,180.660004,180.660004,2153090000,-0.287001336
4/1/1985,180.660004,183.610001,177.860001,179.830002,179.830002,1981880000,-0.459427644
5/1/1985,179.830002,189.979996,178.350006,189.550003,189.550003,2350340000,5.405105317
6/1/1985,189.550003,191.850006,185.029999,191.850006,191.850006,2117000000,1.213401722
7/1/1985,191.850006,196.070007,189.300003,190.919998,190.919998,2463070000,-0.484757869
8/1/1985,190.919998,192.169998,186.100006,188.630005,188.630005,1923200000,-1.199451615
9/1/1985,188.630005,188.800003,179.449997,182.080002,182.080002,1860160000,-3.472407796
10/1/1985,182.059998,190.149994,181.160004,189.820007,189.820007,2543240000,4.250881434
11/1/1985,189.820007,203.399994,189.369995,202.169998,202.169998,2445370000,6.506158753
12/1/1985,202.169998,213.080002,200.100006,211.279999,211.279999,2804380000,4.50610926
1/1/1986,211.279999,214.570007,202.600006,211.779999,211.779999,2879010000,0.236652784
2/1/1986,211.779999,227.919998,210.820007,226.919998,226.919998,2899100000,7.148927695
3/1/1986,226.919998,240.110001,222.179993,238.899994,238.899994,3214600000,5.279391903
4/1/1986,238.899994,245.470001,226.300003,235.520004,235.520004,3240400000,-1.414813765
5/1/1986,235.520004,249.190002,232.259995,247.350006,247.350006,2680240000,5.022928753
6/1/1986,246.039993,251.809998,238.229996,250.839996,250.839996,2649600000,1.410952058
7/1/1986,250.669998,253.199997,233.070007,236.119995,236.119995,3029900000,-5.868283063
8/1/1986,236.119995,254.240005,231.919998,252.929993,252.929993,2701900000,7.119260696
9/1/1986,252.929993,254.130005,228.080002,231.320007,231.320007,3166300000,-8.543860593
10/1/1986,231.320007,244.509995,231.320007,243.979996,243.979996,3016740000,5.472933001
11/1/1986,243.970001,249.220001,235.509995,249.220001,249.220001,2940830000,2.147719111
12/1/1986,249.220001,254.869995,241.279999,242.169998,242.169998,3260870000,-2.828827129
1/1/1987,242.169998,280.959991,242.169998,274.079987,274.079987,4040880000,13.17668962
2/1/1987,274.079987,287.549988,273.160004,284.200012,284.200012,3485300000,3.692361894
3/1/1987,284.170013,302.720001,282.299988,291.700012,291.700012,3965100000,2.638986518
4/1/1987,291.589996,303.649994,275.670013,288.359985,288.359985,3931700000,-1.145021208
5/1/1987,286.98999,298.690002,277.01001,290.100006,290.100006,3417700000,0.603419715
6/1/1987,290.119995,310.269989,286.929993,304,304,3595000000,4.791449056
7/1/1987,303.98999,318.850006,302.529999,318.660004,318.660004,3966400000,4.822369737
8/1/1987,318.619995,337.890015,314.51001,329.799988,329.799988,4062400000,3.49588397
9/1/1987,329.809998,332.179993,308.559998,321.829987,321.829987,3723200000,-2.416616522
10/1/1987,321.829987,328.940002,216.460007,251.789993,251.789993,6094500000,-21.76304161
11/1/1987,251.729996,257.209991,225.75,230.300003,230.300003,3589530000,-8.534886452
12/1/1987,230.320007,253.350006,221.240005,247.080002,247.080002,3926750000,7.286147973
1/1/1988,247.100006,261.779999,240.169998,257.070007,257.070007,3494700000,4.043226857
2/1/1988,257.049988,267.820007,247.820007,267.820007,267.820007,3693240000,4.181740268
3/1/1988,267.820007,272.640015,256.070007,258.890015,258.890015,4052970000,-3.334325953
4/1/1988,258.890015,272.049988,254.710007,261.329987,261.329987,3260760000,0.942474355
5/1/1988,261.359985,263.700012,248.850006,262.160004,262.160004,3231370000,0.317612613
6/1/1988,262.160004,276.880005,262.100006,273.5,273.5,4306710000,4.325601094
7/1/1988,273.5,276.359985,262.480011,272.019989,272.019989,3338470000,-0.541137477
8/1/1988,272.029999,274.200012,256.529999,261.519989,261.519989,3327470000,-3.860010449
9/1/1988,261.519989,274.869995,256.980011,271.910004,271.910004,3059450000,3.972933404
10/1/1988,271.890015,283.950012,268.839996,278.970001,278.970001,3415160000,2.596446212
11/1/1988,278.970001,280.369995,262.850006,273.700012,273.700012,2822820000,-1.889088067
12/1/1988,273.679993,280.450012,270.470001,277.720001,277.720001,2844900000,1.468757334
1/1/1989,277.720001,297.51001,273.809998,297.470001,297.470001,3532220000,7.111479162
2/1/1989,297.470001,300.570007,286.26001,288.859985,288.859985,3216280000,-2.894414889
3/1/1989,288.859985,299.98999,286.459991,294.869995,294.869995,3504530000,2.080596245
4/1/1989,294.869995,310.450012,294.350006,309.640015,309.640015,3237250000,5.008993879
5/1/1989,309.640015,323.059998,304.059998,320.519989,320.519989,3747320000,3.513749345
6/1/1989,320.51001,329.190002,314.380005,317.980011,317.980011,3966590000,-0.792455412
7/1/1989,317.980011,346.079987,317.26001,346.079987,346.079987,3249030000,8.837025922
8/1/1989,346.079987,352.730011,339,351.450012,351.450012,3949100000,1.551671637
9/1/1989,351.450012,354.130005,341.369995,349.149994,349.149994,3035020000,-0.65443674
10/1/1989,349.149994,360.440002,327.119995,340.359985,340.359985,4012670000,-2.517545224
11/1/1989,340.359985,346.5,330.910004,345.98999,345.98999,3032160000,1.654132462
12/1/1989,346.01001,354.100006,339.630005,353.399994,353.399994,3213420000,2.141681613
1/1/1990,353.399994,360.589996,319.829987,329.079987,329.079987,3793250000,-6.881722528
2/1/1990,329.079987,336.089996,322.100006,331.890015,331.890015,2961970000,0.853904252
3/1/1990,331.890015,344.48999,331.079987,339.940002,339.940002,3283280000,2.425498399
4/1/1990,339.940002,347.299988,327.76001,330.799988,330.799988,2801220000,-2.688713875
5/1/1990,330.799988,362.26001,330.799988,361.230011,361.230011,3596680000,9.198919016
6/1/1990,361.26001,368.779999,351.230011,358.019989,358.019989,3226280000,-0.888636576
7/1/1990,358.019989,369.779999,350.089996,356.149994,356.149994,3373540000,-0.522315808
8/1/1990,356.149994,357.350006,306.179993,322.559998,322.559998,4020730000,-9.431418382
9/1/1990,322.559998,326.529999,295.980011,306.049988,306.049988,2687280000,-5.118430711
10/1/1990,306.100006,319.690002,294.51001,304,304,3671900000,-0.669821297
11/1/1990,303.98999,323.019989,301.609985,322.220001,322.220001,3149770000,5.993421382
12/1/1990,322.230011,333.980011,321.970001,330.220001,330.220001,3116830000,2.482775736
1/1/1991,330.200012,343.929993,309.350006,343.929993,343.929993,3660240000,4.151775168
2/1/1991,343.910004,370.959991,340.369995,367.070007,367.070007,4303170000,6.728117486
3/1/1991,367.070007,379.660004,363.730011,375.220001,375.220001,3927920000,2.220283282
4/1/1991,375.220001,391.26001,370.269989,375.339996,375.339996,4017200000,0.031979905
5/1/1991,375.350006,389.850006,365.829987,389.829987,389.829987,3739700000,3.860497457
6/1/1991,389.809998,389.809998,367.980011,371.160004,371.160004,3258730000,-4.789262915
7/1/1991,371.179993,387.809998,370.920013,387.809998,387.809998,3481570000,4.48593432
8/1/1991,387.809998,396.820007,374.089996,395.429993,395.429993,3713820000,1.96487843
9/1/1991,395.429993,397.619995,382.769989,387.859985,387.859985,3260990000,-1.914373754
10/1/1991,387.859985,393.809998,376.109985,392.450012,392.450012,4082380000,1.183423704
11/1/1991,392.459991,398.220001,371.630005,375.220001,375.220001,3737620000,-4.390370868
12/1/1991,375.109985,418.320007,371.359985,417.089996,417.089996,4155310000,11.15878548
1/1/1992,417.029999,421.179993,408.640015,408.779999,408.779999,5286280000,-1.992375046
2/1/1992,408.790009,418.079987,406.339996,412.700012,412.700012,4267610000,0.958954208
3/1/1992,412.679993,413.779999,401.940002,403.690002,403.690002,4066240000,-2.18318627
4/1/1992,403.670013,416.279999,392.410004,414.950012,414.950012,4315840000,2.789271457
5/1/1992,414.950012,418.75,409.850006,415.350006,415.350006,3643980000,0.096395708
6/1/1992,415.350006,417.299988,399.920013,408.140015,408.140015,4259830000,-1.735883206
7/1/1992,408.200012,424.799988,407.200012,424.209991,424.209991,4265220000,3.937368405
8/1/1992,424.190002,425.140015,408.299988,414.029999,414.029999,3653820000,-2.399753003
9/1/1992,414.029999,425.269989,412.709991,417.799988,417.799988,4023850000,0.910559382
10/1/1992,417.799988,421.160004,396.799988,418.679993,418.679993,4507010000,0.210628297
11/1/1992,418.660004,431.929993,415.579987,431.350006,431.350006,4148770000,3.026180666
12/1/1992,431.350006,442.649994,428.609985,435.709991,435.709991,4876150000,1.010776617
1/1/1993,435.700012,442.660004,426.880005,438.779999,438.779999,5280850000,0.704598945
2/1/1993,438.779999,450.040009,428.25,443.380005,443.380005,5442450000,1.048362735
3/1/1993,443.380005,456.76001,441.070007,451.670013,451.670013,5766950000,1.869729782
4/1/1993,451.670013,452.630005,432.299988,440.190002,440.190002,5853170000,-2.541681021
5/1/1993,440.190002,454.549988,436.859985,450.190002,450.190002,5108640000,2.271746281
6/1/1993,450.230011,455.630005,442.5,450.529999,450.529999,5544400000,0.075523001
7/1/1993,450.540009,451.149994,441.399994,448.130005,448.130005,5308530000,-0.532704594
8/1/1993,448.130005,463.559998,446.940002,463.559998,463.559998,5506200000,3.443195686
9/1/1993,463.549988,463.799988,449.640015,458.929993,458.929993,5552720000,-0.998793041
10/1/1993,458.929993,471.100006,456.399994,467.829987,467.829987,5940460000,1.939292296
11/1/1993,467.829987,469.109985,454.359985,461.790009,461.790009,5876610000,-1.291062601
12/1/1993,461.929993,471.290009,461.450012,466.450012,466.450012,5791210000,1.009117328
1/1/1994,466.51001,482.850006,464.359985,481.609985,481.609985,6627390000,3.250074522
2/1/1994,481.600006,482.230011,464.26001,467.140015,467.140015,5853100000,-3.004499585
3/1/1994,467.190002,471.089996,436.160004,445.769989,445.769989,7225010000,-4.574651135
4/1/1994,445.660004,452.790009,435.859985,450.910004,450.910004,5735010000,1.153064389
5/1/1994,450.910004,457.769989,440.779999,456.5,456.5,5675970000,1.239714344
