Date,Close,chg
9/12/1997,1082.5,0.254688585
9/15/1997,1095,1.154734411
9/16/1997,1119.75,2.260273973
9/17/1997,1119.75,0
9/18/1997,1121.75,0.178611297
9/19/1997,1124.75,0.267439269
9/22/1997,1129.75,0.444543232
9/23/1997,1126.25,-0.309803054
9/24/1997,1117.25,-0.799112098
9/25/1997,1110.5,-0.604162005
9/26/1997,1117.25,0.607834309
9/29/1997,1125.75,0.760796599
9/30/1997,1118.5,-0.644015101
10/1/1997,1127,0.759946357
10/2/1997,1132.5,0.488021295
10/3/1997,1139,0.573951435
10/6/1997,1144.5,0.482879719
10/7/1997,1153.25,0.764525994
10/8/1997,1145.75,-0.650336007
10/9/1997,1141.75,-0.349116299
10/10/1997,1140.5,-0.10948106
10/13/1997,1140.25,-0.02192021
10/14/1997,1141,0.065775049
10/15/1997,1137.25,-0.328659071
10/16/1997,1123,-1.253022642
10/17/1997,1113.5,-0.845948353
10/20/1997,1126,1.122586439
10/21/1997,1142.75,1.487566607
10/22/1997,1137.75,-0.437541019
10/23/1997,1119.75,-1.582069875
10/24/1997,1107.25,-1.116320607
10/27/1997,1037.75,-6.276811921
10/28/1997,1088.25,4.866297278
10/29/1997,1088.75,0.045945325
10/30/1997,1066,-2.089552239
10/31/1997,1087.5,2.016885553
11/3/1997,1110.5,2.114942529
11/4/1997,1106.25,-0.382710491
11/5/1997,1110.75,0.406779661
11/6/1997,1105.75,-0.450146298
11/7/1997,1098,-0.700881754
11/10/1997,1089.75,-0.75136612
11/11/1997,1090.5,0.068823125
11/12/1997,1072.5,-1.650618982
11/13/1997,1083.75,1.048951049
11/14/1997,1096.5,1.176470588
11/17/1997,1114,1.595987232
11/18/1997,1106.5,-0.673249551
11/19/1997,1111.5,0.451875282
11/20/1997,1126.75,1.372019793
11/21/1997,1113.5,-1.175948525
11/24/1997,1113,-0.044903458
11/25/1997,1115.5,0.224618149
11/26/1997,1119.25,0.33617212
11/28/1997,1113.5,-0.513736877
12/1/1997,1143.5,2.694207454
12/2/1997,1138.25,-0.459116747
12/3/1997,1141.25,0.263562486
12/4/1997,1140.25,-0.08762322
12/5/1997,1151,0.942775707
12/8/1997,1149,-0.173761946
12/9/1997,1143.5,-0.478677111
12/10/1997,1133.5,-0.874508089
12/11/1997,1119.25,-1.257168064
12/12/1997,1119.25,0
12/15/1997,1128,0.781773509
12/16/1997,1133.75,0.509751773
12/17/1997,1128.75,-0.441014333
12/18/1997,1118.5,-0.908084164
12/19/1997,1110.75,-0.692892266
12/22/1997,1116,0.472653612
12/23/1997,1099.25,-1.500896057
12/24/1997,1095.25,-0.363884467
12/26/1997,1099.25,0.365213422
12/29/1997,1119.5,1.842165113
12/30/1997,1133,1.205895489
12/31/1997,1132.5,-0.044130627
1/2/1998,1138.25,0.507726269
1/5/1998,1140.5,0.197671865
1/6/1998,1125,-1.359053047
1/7/1998,1127,0.177777778
1/8/1998,1115,-1.064773736
1/9/1998,1084,-2.780269058
1/12/1998,1099.25,1.406826568
1/13/1998,1113,1.250852854
1/14/1998,1117,0.359389039
1/15/1998,1108.75,-0.738585497
1/16/1998,1121.75,1.172491545
1/20/1998,1138.5,1.493202585
1/21/1998,1128.5,-0.878348704
1/22/1998,1120,-0.753212229
1/23/1998,1118,-0.178571429
1/26/1998,1117,-0.089445438
1/27/1998,1127,0.895255148
1/28/1998,1135.5,0.754214729
1/29/1998,1140.5,0.440334654
1/30/1998,1141.75,0.109601052
2/2/1998,1157.5,1.379461353
2/3/1998,1164.5,0.60475162
2/4/1998,1163.25,-0.107342207
2/5/1998,1162.5,-0.064474533
2/6/1998,1172.5,0.860215054
2/9/1998,1169,-0.298507463
2/10/1998,1178,0.769888794
2/11/1998,1177.5,-0.042444822
2/12/1998,1180.25,0.233545648
2/13/1998,1176.25,-0.338911248
2/17/1998,1181,0.403825717
2/18/1998,1189,0.677392041
2/19/1998,1183.75,-0.441547519
2/20/1998,1190.5,0.570221753
2/23/1998,1195,0.37799244
2/24/1998,1186.75,-0.690376569
2/25/1998,1199,1.032230883
2/26/1998,1205.5,0.542118432
2/27/1998,1204,-0.124429697
3/2/1998,1203.75,-0.02076412
3/3/1998,1209.5,0.477673936
3/4/1998,1201.5,-0.661430343
3/5/1998,1192,-0.790678319
3/6/1998,1211,1.593959732
3/9/1998,1207,-0.330305533
